Video,Video title,Video pubÂ­lish time,ComÂ­ments adÂ­ded,Shares,DisÂ­likes,Likes,SubÂ­scribers lost,SubÂ­scribers gained,RPM (USD),CPM (USD),AvÂ­erÂ­age perÂ­centÂ­age viewed (%),AvÂ­erÂ­age view durÂ­aÂ­tion,Views,Watch time (hours),SubÂ­scribers,Your esÂ­timÂ­ated revÂ­enÂ­ue (USD),ImÂ­presÂ­sions,ImÂ­presÂ­sions click-through rate (%)
Total,,,14197,39640,3902,225021,45790,229241,5.276,11.99,26.61,0:03:25,5568487,317602.3536,183451,29068.652,100954064,3.16
4OZip0cgOho,How I Would Learn Data Science (If I Had to Start Over),"May 8, 2020",907,9583,942,46903,451,46904,6.353,12.835,36.65,0:03:09,1253559,65850.7042,46453,7959.533,26498799,3.14
78LjdAAw0wA,100K Channel Update + AMA Stream!,"Nov 12, 2020",412,4,4,130,15,12,2.668,6.259,6.26,0:05:14,2291,200.2966,-3,6.113,188318,0.72
hO_YKK_0Qck,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,"Jul 16, 2020",402,152,15,881,9,198,9.516,11.695,15.12,0:10:21,21350,3687.3387,189,202.963,442334,2.53
uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,"Aug 29, 2020",375,367,22,2622,40,1957,3.143,7.943,33.41,0:02:36,49564,2148.311,1917,155.779,521185,4.01
Xgg7dIKys9E,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,"Aug 5, 2020",329,118,15,590,11,161,2.973,7.425,9.55,0:04:37,13429,1034.3945,150,39.92,210876,3.38
-3d1NctSv0c,"Ken Jee Q & A Live Stream (50,000 Sub Special!)","Jun 20, 2020",317,8,2,137,16,11,2.286,5.786,10.4,0:05:55,2326,229.4255,-5,5.318,123236,0.98
Ip50cXvpWY4,The Best Free Data Science Courses Nobody is Talking About,"Mar 9, 2020",294,4694,75,19464,131,10734,4.097,9.124,33.8,0:02:06,297222,10465.0467,10603,1217.046,4512254,3.24
4qZINLzwYyk,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],"Jun 5, 2020",267,544,61,633,38,335,6.722,9.554,9.52,0:03:36,20089,1205.8213,297,135.037,1191518,1.19
742LQ38OioU,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)","Jul 1, 2020",246,17,5,191,13,26,2.461,5.439,8.49,0:04:56,3711,305.6106,13,9.132,131803,1.33
GmW4F6MHqqs,Data Science Project from Scratch - Part 2 (Data Collection),"Apr 6, 2020",241,341,19,2378,5,916,5.789,12.422,24.28,0:06:47,71147,8050.7031,911,411.331,640357,6.53
Q9FjwzKFPuM,Data Science Certificate vs Bootcamp vs Masters Degree,"Jan 18, 2020",239,456,48,2708,37,1576,8.315,17.543,36.21,0:05:53,92355,9057.2752,1539,767.493,2247912,2.78
41Clrh6nv1s,How I Would Learn Data Science in 2021 (What Has Changed?),"Dec 19, 2020",232,741,63,5869,57,3358,7.526,15.786,41.01,0:03:45,123515,7724.2735,3301,929.4,1699309,3.93
8igH8qZafpo,3 Proven Data Science Projects for Beginners (Kaggle),"Feb 17, 2020",220,1935,64,14708,72,9508,3.733,9.247,35.26,0:02:40,237467,10560.3597,9436,885.504,3137644,4.01
Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14","Sep 18, 2020",213,34,6,248,12,28,4.604,9.501,16.64,0:05:37,6860,642.8602,16,31.575,143539,2.52
sHRq-LshG3U,Why You Probably Won't Become a Data Scientist,"Apr 9, 2021",213,386,129,3225,67,2237,5.569,12.805,41.36,0:03:34,108133,6435.5906,2170,601.671,1302907,5.04
S_CuB__nsmI,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,"Aug 12, 2020",209,32,0,178,8,21,7.437,10.958,7.32,0:05:30,4415,405.6021,13,32.826,140501,1.69
I3FBJdiExcg,Beginner Kaggle Data Science Project Walk-Through (Titanic),"Jul 17, 2020",174,1265,59,4321,40,2585,5.33,13.695,15.89,0:06:04,168183,17039.6566,2545,894.753,2040561,4.71
6aaIbd-GpZs,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,"Jul 8, 2020",173,29,0,223,5,29,5.097,9.661,17.97,0:03:33,5799,343.5796,24,29.56,140871,2.04
QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,"Jul 30, 2020",172,10,1,115,9,10,3.52,7.263,16.61,0:06:20,2188,231.3275,1,7.701,110441,0.96
SVtRsDhHlDk,Why I Quit Data Science,"Feb 12, 2021",165,197,159,2274,85,832,4.042,9.855,40.99,0:02:16,98777,3756.0683,747,399.18,659163,8.62
zF_Q2v_9zKY,Scrape Twitter Data in Python with Twitterscraper Module,"Apr 18, 2019",161,455,11,783,2,365,2.924,10.454,35.96,0:02:15,41506,1567.3451,363,121.302,262907,7.71
_rbrdNTpZGo,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),"Jul 24, 2020",158,23,9,247,10,65,3.222,7.571,27.73,0:02:40,7865,350.1646,55,25.339,130969,3.31
myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,"Dec 7, 2020",151,60,7,675,18,278,2.686,10.189,17.48,0:01:59,21008,696.8395,260,56.411,256546,1.72
2qVWurPFwfc,Is Data Science Dying?,"Nov 19, 2021",148,408,56,2378,34,981,5.272,9.354,34.98,0:03:12,70043,3736.819,947,368.53,1071989,3.78
zGlJ-QndG8E,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,"Jun 26, 2020",135,49,5,450,13,142,5.161,10.256,27.81,0:03:50,11872,759.2818,129,61.23,170724,3.5
BBDiadC8BvE,5 Essential Data Science Projects for Your Portfolio,"Sep 26, 2020",134,381,23,2462,16,961,4.502,11.302,35.67,0:02:27,51092,2095.848,945,229.705,534014,5.45
mEZ1Hj5yQ-8,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],"May 29, 2020",131,514,16,1559,9,524,5.657,13.458,11.48,0:04:55,44924,3691.0734,515,253.83,471036,4.63
fhi4dOhmW-g,Data Science Project from Scratch - Part 3 (Data Cleaning),"Apr 8, 2020",129,283,8,1301,8,520,4.323,12.468,16.98,0:07:26,50234,6235.4662,512,216.892,629607,4.82
yukdXV9LR48,The Projects You Should Do To Get A Data Science Job,"Jul 30, 2019",124,868,87,5218,53,2793,3.836,11.586,25.41,0:03:15,131630,7153.7437,2740,504.669,1748467,4.36
g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,"Sep 9, 2020",118,19,1,75,4,4,5.427,10.719,11.37,0:06:13,1823,189.3334,0,9.893,114125,0.76
hOUrxTeBJQc,The 7 Biggest Data Science  Beginner Mistakes,"Apr 23, 2021",117,181,13,2252,23,1053,7.726,13.924,38.26,0:03:49,48261,3082.4798,1030,372.245,676516,3.45
xpIFS6jZbe8,How I Would Learn Data Science in 2022 (If I Had to Start Over),"Dec 27, 2021",109,767,53,4413,46,2553,6.836,13.534,36.77,0:04:29,79283,5945.542,2507,528.286,1420968,3.31
SLC5sPZSLY4,How YOU Can Land a Sports Analytics Job,"Dec 2, 2019",106,420,17,2323,16,1860,4.247,8.588,37.9,0:03:03,50498,2573.2835,1844,214.234,561044,6.12
m5pwx3hgtzM,3 Reasons You Should NOT Become a Data Scientist,"Dec 16, 2019",101,197,93,2783,45,1180,4.79,9.253,46.02,0:02:51,93329,4449.9719,1135,446.851,1316053,5.41
n3vw0M5RrPU,How I Learned Data Science,"Jan 27, 2020",101,482,253,2514,51,2090,8.027,13.707,25.84,0:03:28,87169,5043.1516,2039,699.558,5447045,1.14
zSwM5uVeylU,Math Needed for Mastering Data Science,"Dec 9, 2019",98,274,15,2529,16,889,4.539,10.363,49.15,0:02:23,48401,1922.7679,873,219.501,523606,5.8
qV_AlRwhI3I,What is the #66DaysOfData?,"Dec 26, 2020",96,541,13,1827,33,2395,4.335,12.805,29.91,0:02:20,52921,2070.8803,2362,228.911,338516,3.44
1aXk2RViq3c,How to Make A Data Science Portfolio Website with Github Pages,"May 15, 2020",93,584,32,2778,9,1234,5.684,14.666,23.81,0:03:17,69141,3791.5971,1225,392.228,1043886,3.95
QWgg4w1SpJ8,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),"Apr 10, 2020",85,302,7,1408,6,573,4.43,12.003,13.16,0:09:01,47193,7104.5262,567,208.805,716168,3.91
BZFfNwj7JhE,Different Data Science Roles Explained (by a Data Scientist),"May 22, 2020",82,465,100,1589,9,863,6.147,12.346,34.82,0:01:41,44974,1265.9731,854,276.316,2927350,0.85
MpF9HENQjDo,Data Science Project from Scratch - Part 1 (Project Planning),"Apr 3, 2020",82,744,21,3197,22,3184,4.334,11.954,30.37,0:02:16,102854,3887.4233,3162,445.187,778177,5.35
XjC3FPL-S78,Why You're Struggling to Learn Data Science,"Jun 12, 2020",82,60,9,1000,28,256,3.125,7.179,46.21,0:02:53,14552,700.5087,228,45.465,252084,3.45
a3VWq9smqhM,How to ULTRALEARN Data Science,"Mar 27, 2020",79,230,25,3530,19,2136,4.58,12.682,40.98,0:03:08,55316,2890.0054,2117,253.249,498384,3.3
domVw8isGOI,How I Chose My Masters Degree for Breaking into Data Science,"Oct 30, 2020",79,55,8,527,14,184,6.283,14.776,43.15,0:03:24,18633,1058.6333,170,116.91,315342,3.4
 -pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,"Sep 4, 2020",78,80,3,691,10,109,5.07,10.472,31.24,0:04:30,10588,795.7453,99,53.677,185980,3.09
7JCterBrcvk,Discouraged with Data Science? - Watch THIS video.,"May 28, 2021",76,58,1,388,24,60,7.307,11.354,33.91,0:03:38,6825,414.003,36,49.835,180455,2.32
xjhW1rSQeik,Data Science Advice for College Students,"Feb 14, 2020",74,151,12,1786,20,1719,1.039,7.311,23.07,0:02:30,62154,2600.7865,1699,64.526,125961,3.54
EMq4PH7PCeA,How to Go From Data Analyst to Data Scientist,"Apr 2, 2021",73,159,3,1176,24,613,4.373,13.521,33.55,0:02:15,40202,1509.924,589,175.663,325998,4.9
SsGKZe4dVyk,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,"Aug 19, 2020",72,133,4,1025,8,280,4.204,10.708,18.91,0:06:45,25141,2833.7374,272,105.647,483432,2.96
S4Lei5mOppc,How I Learned to Learn.,"Jul 31, 2021",71,210,12,1455,23,336,7.008,16.922,31.68,0:05:17,23506,2074.7039,313,163.843,448761,2.48
ji7DtgUeKCI,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),"Nov 20, 2020",71,111,9,618,19,141,8.328,14.19,41.96,0:03:50,18307,1173.5318,122,152.286,286019,3.96
r-DR9HBaipU,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),"Jan 2, 2021",71,162,8,951,14,379,4.289,10.246,25.64,0:03:49,25722,1637.6522,365,110.216,339622,4.13
vQGJvmhpq_s,The Plagiarism Problem in Data Science,"Aug 7, 2020",71,39,11,631,9,132,3.184,7.453,40.51,0:03:09,12675,666.0547,123,40.357,195384,4.04
WRF_dKZ_i24,Sh*t Data Scientists Say (Parody),"Oct 5, 2020",69,47,6,568,11,20,2.376,6.882,63.66,0:01:21,8724,197.4765,9,20.731,119596,3.75
8nTmuKI2oyA,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,"May 14, 2021",67,77,6,457,9,66,6.795,12.937,38.68,0:03:15,9135,495.671,57,62.009,167823,3.02
QQLToUlgN7A,The Best Computer for Data Science Beginners,"Jul 10, 2020",66,98,36,691,16,311,3.521,7.619,40.7,0:02:40,27597,1232.5698,295,97.057,263909,7.16
iGUiLWFDWfk,Don't Buy My Course..,"Aug 21, 2020",66,11,10,361,17,42,3.83,9.529,27.28,0:02:22,7196,285.2142,25,27.558,104975,4.39
jf3j0lWmFPU,The 5 Pillars of Success I Live By,"Sep 11, 2020",65,40,4,864,15,77,5.275,11.366,41.62,0:04:01,9743,653.236,62,51.398,142171,3.82
o-wsyxWbPOw,We Need to Talk About The LinkedIn Machine Learning Assessment.,"Jan 3, 2022",65,36,12,592,10,78,5.321,12.49,45.08,0:02:46,11808,545.6332,68,62.568,166915,3.32
YR9Faf1uZDg,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),"Dec 10, 2020",64,57,14,366,10,87,5.326,9.356,32.4,0:03:00,9268,464.6074,77,49.296,168974,3.04
vwvdtXMcNzI,Why Is Data Engineering So HOT Right Now?,"Nov 26, 2021",63,174,9,786,16,278,4.452,10.231,42.92,0:03:04,17268,883.2341,262,76.731,299897,2.94
FqNpDNmpcEo,How Zillow Lost $500 MILLION With Machine Learning,"Dec 3, 2021",62,309,4,869,16,142,7.098,15.168,44.63,0:05:06,16933,1440.0058,126,119.891,312137,2.63
Uf0dO-pgOrk,Dealing with Doubt in Data Science (My Impostor Syndrome Story),"Oct 16, 2020",62,44,4,446,7,56,4.541,10.853,49.06,0:02:50,6282,297.038,49,28.529,141649,2.37
rEWPqw6rMGI,The Only Data Science Explanation You Need,"Jan 10, 2022",62,141,5,722,28,136,5.971,12.045,35.49,0:04:40,10277,801.5549,108,60.498,215491,2.22
uic34RTaI-w,How I Balance Data Science and Content Creation (7 Secrets),"Jan 23, 2021",62,49,0,284,17,49,3.257,11.302,20.87,0:02:50,6776,320.0906,32,22.063,154264,1.17
KU__lDJj5iU,How Data Science Projects Pay Off,"May 22, 2021",60,49,3,565,19,150,4.805,11.344,43.05,0:02:46,9342,431.1819,131,44.874,175035,3.33
KQ80oD_boBM,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),"Jan 8, 2021",59,71,2,557,13,138,6.656,12.332,17.09,0:06:14,14711,1530.1763,125,97.815,256448,3.01
7O4dpR9QMIM,Data Science Project from Scratch  - Part 5 (Model Building),"Apr 13, 2020",58,187,8,644,4,199,4.359,11.016,15.19,0:06:55,27648,3189.7254,195,120.399,449982,3.44
AqPquogHwq0,Where to Start Learning Data Science,"Jul 3, 2020",58,70,7,724,14,200,3.357,8.208,49.09,0:02:11,16882,616.9814,186,56.64,190702,4.78
UcilY6HDuL8,10000 Subscriber and 100th Video Special (Data Science),"May 13, 2020",58,12,4,149,2,53,0,,24.01,0:00:41,3064,35.0743,51,0,400077,0.49
agHKuUoMwvY,Data Science Project from Scratch - Part 7 (Documenting Your Work),"Apr 17, 2020",58,121,2,539,5,152,2.746,10.347,18.97,0:02:14,12427,465.6674,147,34.1,137679,6.18
3Mm1U1CbzNw,Is Data Science Right For You?,"Aug 18, 2019",57,243,184,1018,30,744,6.178,14.178,32.24,0:02:06,44051,1546.5641,714,272.051,182811,5.88
35g8fCi-kbw,7 Incredible Books That Transformed My Health and My Life,"Nov 12, 2021",56,60,1,343,17,40,3.942,9.322,27.05,0:03:34,6192,368.9579,23,24.375,126506,2.29
OtqQYqRNDGI,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,"Jan 29, 2021",56,25,26,380,18,53,2.698,10.302,60.78,0:00:35,8009,79.7725,35,10.292,178890,1.64
RRSRKf9eQxc,Should You Get A Masters in Data Science?,"Nov 14, 2018",56,41,10,276,2,81,7.398,15.205,45.22,0:02:32,18488,782.5937,79,136.708,173610,8.4
YbTMIxjk4hI,The YouTube Algorithm EXPLAINED! (Tips from a Data Scientist),"Aug 14, 2020",54,79,6,525,10,112,5.741,9.524,39.1,0:03:32,5700,336.7438,102,32.653,110468,2.38
k8YxyrcAXJs,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),"Aug 20, 2021",54,53,2,481,37,84,4.843,11.484,38.01,0:02:14,10403,389.9063,47,50.319,322856,1.95
hcHSSyHbgMQ,My Regrets as a Data Science Student,"Mar 12, 2021",53,85,9,749,15,172,6.264,12.904,35.51,0:02:55,20150,983.9832,157,126.139,216390,3.97
XGBigjVy2Eo,The Secret Data Scientists Don't Want You to Know,"Mar 16, 2020",52,61,5,1079,6,194,4.652,11.833,61.59,0:02:16,9503,360.9566,188,44.203,148629,4.1
UpaEjBOMNqs,5 Proven Strategies to Break into a Data Science Job,"Oct 2, 2020",51,34,2,356,10,48,3.77,10.216,41.39,0:02:18,8168,313.69,38,30.787,126253,2.69
rdo8YBasqqA,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),"Jul 27, 2020",50,37,2,248,6,36,3.235,8.081,30.52,0:03:42,5106,316.0491,30,16.516,119577,2.68
yUrrf3Pm33s,Find a Data Science Project With These 3 Techniques,"Nov 6, 2020",49,64,8,600,9,92,3.731,11.179,28.2,0:02:24,13931,559.7703,83,51.968,195074,2.51
1FrY7ARSf10,9 Ways You Can Make Extra Income as a Data Scientist,"Nov 18, 2019",48,237,30,1573,14,617,5.277,14.503,37.42,0:03:58,39347,2609.6311,603,207.518,542054,4.36
NCyPY-jfb3I,How to Scrape NBA Data Using the nba_api Python Module,"Dec 23, 2019",48,82,1,426,1,210,4.774,15.916,25.21,0:04:09,11724,812.1108,209,55.926,113730,5.48
_0rHU6qAQe0,git for Data Science Made Simple... (Hopefully),"Oct 23, 2020",48,76,7,638,14,127,3.879,10.486,38.21,0:02:29,12643,526.0772,113,48.982,184664,3.46
pPfw2fzwNiM,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,"Mar 19, 2021",48,41,2,260,6,281,5.501,11.858,26.07,0:02:22,9370,369.7456,275,51.333,154187,1.74
4039x4r-hGE,6 Lessons from #66DaysOfData,"Nov 13, 2020",47,46,2,337,11,38,4.445,10.279,32.81,0:02:37,6352,277.268,27,28.224,164727,2.12
KfpOuSH9gDc,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,"Jun 25, 2021",47,42,11,416,13,47,4.395,11.005,43.38,0:02:43,8832,402.3071,34,38.723,178720,2.89
WnB1jsDu900,Reviewing Your Data Science Projects - Episode 8 (College Student Help),"Jun 15, 2020",47,24,4,165,24,34,2.327,6.032,29.64,0:03:23,4050,228.4431,10,9.42,124375,1.91
lUUqrRgerd8,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),"Apr 24, 2020",47,35,13,450,4,242,6.976,10.703,27.13,0:03:59,14348,955.9245,238,100.089,867871,1.23
4CpmB4TR2C4,Work From Home Data Scientist: Day in the Life,"Apr 12, 2019",46,54,44,728,6,418,3.426,10.963,46.79,0:02:34,26586,1143.6495,412,91.069,353031,5.57
nrEJGGxcoTc,Is Your Phone REALLY Listening to You?,"Jul 3, 2021",46,69,6,273,15,16,4.367,9.965,50.14,0:02:31,4569,192.1812,1,19.933,136065,1.95
C4OPn58BLaU,How to Set Up Your Data Science Environment (Anaconda Beginner),"Feb 21, 2020",45,459,46,1609,14,1207,7.352,14.368,35.83,0:03:33,75351,4477.5908,1193,552.927,996148,4.49
ITAxTid_1YU,My Daily Battle With Time - Will I Win? [Vlog],"Mar 8, 2021",45,6,2,193,10,12,3.217,8.312,47.53,0:02:51,3615,172.3023,2,11.628,115355,1.72
n7kjelw9s2w,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,"May 7, 2021",44,46,12,640,9,96,1.807,8.816,52.84,0:00:31,14780,128.0017,87,13.458,242413,2.5
nUOh_lDMHOU,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),"Apr 15, 2020",44,138,11,549,3,132,2.837,9.694,14.37,0:05:17,18329,1614.7837,129,51.945,344921,3.43
 -ONQ628CXKQ,Data Scientist Reacts: REAL Data Science Job Application Data,"Apr 16, 2021",43,89,9,576,14,366,4.803,14.051,21.33,0:03:25,20158,1151.5371,352,96.734,195209,2.86
oHUD2T_VXfI,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),"Aug 31, 2020",43,95,1,714,6,126,5.035,10.143,32.23,0:03:50,14382,922.0377,120,72.365,236816,3.84
T77uVbLhroQ,How I Got My First Data Science Internship (And How You Can Land One),"Jun 21, 2019",42,93,10,1008,11,505,3.614,12.185,39.29,0:04:08,20328,1404.5274,494,73.386,319581,4.44
lsXWVPzwZPk,Critiquing MY OWN Data Science Resume,"Jul 6, 2020",42,50,5,371,7,57,3.548,10.144,28.84,0:03:24,10854,616.5407,50,38.494,152852,3.99
5v_ulmGv-gc,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,"Aug 26, 2020",41,90,4,562,11,130,3.198,6.993,16.46,0:06:17,13159,1379.223,119,42.066,217513,3.19
BlSrorP32WM,Why I Have 2 Offices for Data Science & Content Creation,"Mar 26, 2021",41,24,1,134,11,18,5.721,10.51,36.31,0:02:59,3543,176.9124,7,20.258,124125,1.57
HJH0gfY6EUg,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),"May 25, 2020",41,277,200,503,10,359,9.96,13.443,9.62,0:01:41,20655,582.0329,349,205.73,2941130,0.6
6tQtwqthUMI,My First Data Science Contracting Side-Gig (How I Did It),"Jul 31, 2020",40,42,3,492,17,121,4.622,10.8,43.22,0:03:51,8643,555.1777,104,39.915,155638,3.64
AxP1CL0yaFQ,Should You Learn R for Data Science?,"Apr 25, 2019",39,35,13,444,5,142,4.802,10.619,53.42,0:02:12,15243,560.9369,137,73.118,155980,7.45
d6FeV8WXPWY,5 Unusual Data Science Projects that Will Land You a Job,"Oct 9, 2020",39,48,3,464,10,55,4.179,9.26,53.04,0:02:38,7354,323.9475,45,30.709,135694,2.92
tnpV1etgcxs,The PODCAST you might have asked for?,"Oct 19, 2020",39,2,4,94,8,9,3.217,9.61,37.29,0:00:51,1836,26.4346,1,5.906,97476,0.85
